lesson,heb_word,match_word,match_word_def,score,card_id
1,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1,1306983847623
1,רִאשׁוֹן,רִאשׁוֹן,first,0,1315344694845
1,בּוֹקֶר,בּוֹקֶר,"morning, dawn",0,1308135413790
1,טוֹב,טוֹב,"good, well, pleasant, appropriate",0,1306983847630
1,אוֹר,אוֹר,light; lamp,0,1319510366153
2,שֵׁנִי,שֵׁנִי,second (ordinal); other,0,1315344694846
3,שׁלִישִׁי,שְׁלִישִׁי,third,1,1315344694847
4,רְבִיעִי,רְבִיעִי,fourth,0,1315344694848
4,שׁוֹתָה,שׁוֹתָה,"drinks (f, s)",0,1512228209733
4,בִּירָה,בִּירָה,"beer; capital city, palace",0,1436157604044
5,חֲמִישִׁי,חֲמִישִׁי,fifth,0,1315344694849
5,לוֹמֵד,לוֹמֵד,"studies (m, s)",0,1512228227762
5,עִברִית,עִבְרִית,Hebrew,1,1512228210374
6,שִׁישִׁי,שִׁישִּׁי,sixth,1,1315344694850
6,בְּסֵדֶר,סֵדֶר,"order, arrangement",3,1337771607145
6,חָדָשׁ,חָדָשׁ,"new, current, recent[ly made]",0,1308511050770
6,אֵין,אֵין,there isn't / aren't,0,1306776223598
6,חֲבָל,חֲבָל,pity,0,1321932298565
6,לְהִתרָאוֹת,לְהִתְרָאוֹת,"See you later!, Goodbye; meet (so.), see again, appear",1,1306381213113
7,שׁבִיעִי,שְׁבִיעִי,seventh,1,1315344694851
8,שׁמִינִי,שְׁמִינִי,eighth,1,1315344694852
8,מְדַבֵּר,לְדַבֵּר,"to speak, talk",1,1306776223594
8,רַק,רַק,"only, just",0,1306381213162
8,מִפּוֹלָניָה,פּוֹלָנִית,Polish (lang.),5,1306776223591
8,מֵרוּסיָה,רוּסְיָה,Russia,3,1306983847642
8,רוּסִית,רוּסִי,Russian,1,1512228221400
8,אִידִישׁ,יִידִישׁ,Yiddish (lang.),1,1306381213119
8,אוּלפָּן,אוּלְפָּן,studio,3,1306776223584
8,שַׁבָּת,שַׁבָּת,"Sabbath, day of rest; Saturday",2,1510896590961
9,תשִׁיעִי,תְּשִׁיעִי,ninth,2,1315344694853
9,מַחשֵׁבִים,מַחְשֵׁב,computer,4,1306983847615
10,עֲשִׂירִי,עֲשִׂירִי,tenth,0,1315344694854
10,עֶרֶב,עֶרֶב,evening,0,1308135413797
10,טוֹב,טוֹב,"good, well, pleasant, appropriate",0,1306983847630
10,מַה,מַה,"what? how much, why, how",0,1306377299779
10,אַתֶן,אַתֶן,you (pl.),0,1306381213106
10,רוֹצוֹת,רוֹצוֹת,"want (f, p)",0,1512228211449
10,קָפֶה,קָפֶה,coffee,0,1306983847655
10,וְעוּגָה,עוּגָה,cake,2,1307061269237
10,בְּבַקָשָׁה,בְּבַקָשָׁה,please; you're welcome,2,1306983847624
10,יֵשׁ,יֵשׁ,"there is/are/exist; existence, Being, entity",0,1306776223602
10,אֵין,אֵין,there isn't / aren't,0,1306776223598
10,אֲבָל,אֲבָל,"but, however",0,1306983847637
10,אוֹ,אוֹ,"or, either",0,1306381213103
10,שׁוֹקוֹלָד,שׁוֹקוֹלָד,chocolate,0,1307061269247
11,שָׁלוֹם,שָׁלוֹם,"hello, goodbye; peace, rest, welfare",0,1306381213114
11,מַה,מַה,"what? how much, why, how",0,1306377299779
11,אַתֶם,אַתֶם,"you, ""you guys"" (pl.)",0,1306381213105
11,שׁוֹתִים,שׁוֹתִים,"drink (m, p)",0,1512228211317
11,טוּרקִי,טוּרְקִי,Turkish,1,1322955748470
11,וְנֵס,נֵס,"miracle, wonder",2,1328018537579
11,סוּכָּר,סוּכָּר,sugar,2,1306776223563
11,שׁוֹתוֹת,שׁוֹתוֹת,"drink (f, p)",0,1512228211332
11,מִיץ,מִיץ,juice,0,1306381213141
12,עָיֵף,עָיֵיף,tired,1,1319510366165
12,לָמָה,לָמָה,why?,0,1313503614627
12,הַקַניוֹן,קַנְיוֹן,shopping mall; canyon,3,1313503717818
12,קוֹנֶה,קוֹנֶה²,buyer,1,1321307811410
12,אֲבָל,אֲבָל,"but, however",0,1306983847637
13,שִׁעוּר,שָׁבוּר,"broken, fractured; depressed, despondent",2,1514742810700
13,שׁלוֹשׁ,קָדוֹשׁ,"holy, saint",3,1322955748460
13,עֶשׂרֵה,עֶשֶׂר,ten,3,1306984616600
13,בְּטֶלֶפוֹן,טֶלֶפוֹן,telephone,3,1512228223702
13,אַלחוּטִי,אַלְחוּטִי,"wireless, cordless",1,1446043028040
13,אֵיפֹה,אֵיפֹה,"where, at what place?",0,1306983847638
13,נַיָד,יָד,"arm, hand[le]",2,1540945319158
13,גַם,גַּם,"also, too, further, additionally; even (though, if), despite that",1,1306377299806
13,טֶלֶפוֹן,טֶלֶפוֹן,telephone,0,1512228223702
13,בְּעָיָה,בְּעָיָה,problem,0,1313503690843
13,בַּמְכוֹנִית,מְכוֹנִית,car,3,1316694466787
15,מֵאַיִן,מֵאַיִן,where from? from what place?,0,1306377299793
15,מִחוֹף,חוֹף,"beach, shore",2,1319510366157
15,בַּבּוֹקֶר,בּוֹקֶר,"morning, dawn",3,1308135413790
15,שׂוֹחֶה,שׂוֹחֶה,"swims (m, s)",0,1512228227430
15,חֲתִיכוֹת,חֲתִיכָה,"piece, chunk, item; gorgeous, pretty woman (coll.)",3,1318295729200
15,שָׁם,יָם,"sea, ocean",2,1306377299772
15,אָז,אַז,"then, next, at that time; so, thus, therefore; so (anyway)",1,1306984616588
16,בַּר,בָּר,bar,2,1512228220505
16,מִצוָה,מִצְווָה,commandment,2,1516308809800
16,חָדָשׁ,חָדָשׁ,"new, current, recent[ly made]",0,1308511050770
16,בְּקָרוֹב,קָרוֹב,"close, near, [up]coming",3,1315344694814
16,מַזָל,מַזָּל,"luck, (good) fortune; fate, destiny; sign of the Zodiac",1,1316694466786
16,אֲבָל,אֲבָל,"but, however",0,1306983847637
16,לִקנוֹת,לִקְנוֹת,"to buy, purchase; to get, obtain, acquire",1,1308135413777
16,שִׂמלָה,שִׂמְלָה,"dress, gown, robe",1,1321932298547
16,יָפָה,יָפָה,"beautiful, pleasant, pretty; nice, fine, well",0,1308511050771
16,שֶׁל,שֶׁל,"of, belonging to, owned by",0,1306377299796
17,שׁבַע,שֶׁבַע,seven,1,1306984616597
17,עֶשׂרֵה,עֶשֶׂר,ten,3,1306984616600
17,פֹּה,פֹּה,"here, (in/at) this place¹",2,1306776223606
17,בַּלַגָן,בָּלָאגָן,mess,4,1512228243688
17,מְסַדֵר,לְסַדֵּר,"to organize, tidy, arrange",2,1319510366178
17,הַחֶדֶר,חֶדֶר,room,2,1308511050761
17,הַשׁוּלחָן,שׁוּלְחָן,"table, desk",3,1308511050768
17,הָאֵלֶה,אֵלֶּה,these,3,1306381213111
17,סֵדֶר,סֵדֶר,"order, arrangement",0,1337771607145
18,שׁמוֹנֶה,שְׁמוֹנֶה,eight,1,1306984616598
18,חֲתוּנַת,חֲתוּנָה,wedding,2,1315344680206
18,כּמוֹ,כְּמוֹ,"like, as",1,1308511050784
18,חָתָן,חָתָן,groom; son-in-law,0,1315344680207
18,לְאָן,לְאָן,"where to, to what place?",0,1306381213147
18,הוֹלֵך,הוֹלֵךְ,"walks, goes (m, s)",1,1512228209565
18,בָּאוֹפֶּרָה,אוֹפֶּרָה,opera,3,1313503717830
18,עִם,עִם,with,0,1306381213139
18,מִי,מִי,who?,0,1306377299780
18,הַבַּעַל,בַּעַל,"husband; owner, master",3,1309227242777
18,שֶׁל,שֶׁל,"of, belonging to, owned by",0,1306377299796
19,תשַׁע,תֵשַׁע,nine,1,1306984616599
19,מִשׁפָּחָה,מִשְׁפָּחָה,family,1,1306776223589
19,בַּבֹּקֶר,בּוֹקֶר,"morning, dawn",3,1308135413790
19,אַבָּא,אַבָּא,"father, dad",2,1306776223583
19,מְשַׂחֵק,לְשַׂחֵק,"to play (game, role)",1,1313503614597
19,כַּדוּרֶגֶל,כַּדּוּרֶגֶל,"soccer, football",1,1338833115732
19,אִמָא,אִימָא,mom,1,1306377175166
19,טֶנִיס,טֶנִיס,tennis,0,1512228241089
19,הַקָטָן,קָטָן,"small, little, young; diminutive, insignificant, unimportant",2,1308511050776
19,כַּדוּריָד,כַּדּוּרְסָל,basketball,4,1480161557328
19,אֲחוֹתִי,אָחוֹת,sister; nurse,3,1320094363818
19,בְּמִשׂחָק,מִשְׂחָק,"game, match",4,1316694466789
19,וִידֵאוֹ,וִידֵאוֹ,"video, VCR",0,1306381213130
19,בַּבַּיִת,בַּיִת,"house, home; stanza (music)",3,1306776223586
20,עֶשׂרִים,הָעֶשְׂרִים,the twentieth,3,1315344694856
20,סוֹף,סוֹף,"end, finish",0,1318295729164
20,שָׁבוּעַ,הַשָׁבוּעַ,this week,2,1321307811426
20,בַּבּרֵכָה,בְּרֵיכָה,"(swimming) pool, pond",4,1328016826028
20,בָּעֶרֶב,עֶרֶב,evening,3,1308135413797
20,עַל,עַל,"on (top), about, super-, above, more/larger than",0,1306776223597
20,פּוֹלִיטִיקָה,פּוֹלִיטִיקָה,politics,0,1306776223565
20,הָאֵשׁ,אֵשׁ,"fire, flame",2,1318295729160
